,RespondentID,Knowledge,Interest,Algeria,Argentina,Australia,Belgium,Bosnia and Herzegovina,Brazil,Cameroon,Chile,Colombia,Costa Rica,Croatia,Ecuador,England,France,Germany,Ghana,Greece,Honduras,Iran,Italy,Ivory Coast,Japan,Mexico,the Netherlands,Nigeria,Portugal,Russia,South Korea,Spain,Switzerland,United States,Uruguay,China,India,Thailand,Turkey,Cuba,Ethiopia,Vietnam,Ireland,Gender,Age,Household Income,Education,Location
360,3308514506,Novice,Some,,,4.0,4.0,,,,,,,,,,,,,4.0,,,4.0,,4.0,5.0,,,,,,4.0,,5.0,,4.0,4.0,4.0,,4.0,4.0,,,Female,45-60,,Some college or Associate degree,Middle Atlantic
361,3308513723,Novice,Not much,,,,,,,,3.0,,,,,4.0,3.0,,,3.0,,,5.0,,3.0,4.0,,,,,,3.0,,5.0,,4.0,,,,,,,3.0,Female,30-44,"$25,000 - $49,999",Bachelor degree,South Atlantic
362,3308513693,Intermediate,Some,,,,,,,,,,,,,2.0,5.0,5.0,,5.0,,4.0,5.0,,4.0,5.0,,,,,3.0,3.0,4.0,3.0,,3.0,4.0,3.0,,2.0,4.0,3.0,,Female,30-44,"$150,000+",Graduate degree,Pacific
363,3308513616,Intermediate,Not much,,,3.0,,,,,,,,,,3.0,3.0,,,,,,3.0,,3.0,3.0,,,,,,3.0,,5.0,,3.0,3.0,,,,,,3.0,Male,45-60,"$0 - $24,999",Bachelor degree,East North Central
364,3308511506,Intermediate,Some,,3.0,3.0,4.0,,,,3.0,,,,,4.0,3.0,4.0,,4.0,,,4.0,,4.0,4.0,,,,,,3.0,4.0,5.0,,3.0,3.0,4.0,3.0,,,,4.0,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
365,3308511162,Intermediate,A lot,3.0,4.0,,,,,,,,,,,,3.0,3.0,,,,,4.0,,2.0,4.0,,3.0,,,,4.0,,3.0,,5.0,4.0,4.0,4.0,,3.0,5.0,,Male,18-29,"$50,000 - $99,999",Graduate degree,East North Central
366,3308510652,Intermediate,Some,,3.0,,,,4.0,,,,,,3.0,4.0,4.0,1.0,,4.0,3.0,,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,,3.0,,3.0,3.0,4.0,4.0,Male,45-60,"$0 - $24,999",Some college or Associate degree,Mountain
367,3308509796,Novice,Some,,,,,,,,,,,,,3.0,,,,3.0,,,3.0,,,,,,,,,,,5.0,,4.0,,,,,,,5.0,Female,> 60,"$50,000 - $99,999",High school degree,South Atlantic
368,3308508238,Intermediate,Some,,3.0,2.0,,3.0,,5.0,3.0,3.0,,2.0,,1.0,4.0,2.0,,4.0,,,3.0,,3.0,3.0,3.0,,4.0,2.0,3.0,4.0,3.0,3.0,,3.0,4.0,5.0,5.0,4.0,4.0,5.0,2.0,Female,45-60,,Graduate degree,East North Central
369,3308507779,Expert,A lot,5.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,5.0,3.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,,,5.0,,,,,,,,5.0,,2.0,1.0,,,,,1.0,,Female,18-29,,High school degree,West South Central
370,3308506192,Intermediate,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,18-29,"$50,000 - $99,999",High school degree,West North Central
371,3308506179,Intermediate,A lot,,5.0,2.0,4.0,3.0,5.0,,4.0,,,,,2.0,5.0,2.0,,5.0,,4.0,5.0,,5.0,5.0,,,,2.0,,5.0,,4.0,,5.0,5.0,5.0,5.0,5.0,,5.0,3.0,Female,30-44,"$0 - $24,999",Bachelor degree,Mountain
372,3308505476,Intermediate,A lot,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,,,,,,2.0,,4.0,,5.0,4.0,4.0,,3.0,,2.0,4.0,,,,,
373,3308505262,Intermediate,Some,,3.0,3.0,4.0,,3.0,,,3.0,3.0,,,4.0,4.0,4.0,,3.0,3.0,,4.0,,3.0,5.0,,1.0,3.0,,,3.0,,5.0,,4.0,3.0,3.0,,4.0,,3.0,5.0,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central
374,3308504722,Novice,Some,,,,,,,,,,,,,3.0,,2.0,,4.0,,,3.0,,2.0,5.0,,,,2.0,2.0,,,4.0,,3.0,2.0,3.0,,,,3.0,,Male,30-44,"$25,000 - $49,999",Bachelor degree,West North Central
375,3308503470,Novice,Not much,,,,,,,,4.0,,,,,3.0,2.0,,,3.0,,,3.0,,3.0,5.0,,,,,4.0,,3.0,4.0,,4.0,3.0,3.0,,,,,4.0,Male,18-29,"$50,000 - $99,999",Less than high school degree,Mountain
376,3308502458,Intermediate,Some,,,,,,,,,,,,,3.0,4.0,2.0,,3.0,,,4.0,,3.0,4.0,,,,,2.0,4.0,,5.0,,5.0,2.0,3.0,,3.0,,2.0,3.0,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central
377,3308502264,Intermediate,Some,,,,4.0,,,,,,,,,3.0,4.0,4.0,,2.0,,,4.0,,4.0,4.0,4.0,,,3.0,,3.0,,4.0,,4.0,2.0,3.0,,,,,4.0,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central
378,3308501552,Intermediate,Some,2.0,,3.0,4.0,,3.0,2.0,3.0,2.0,3.0,,2.0,2.0,5.0,2.0,,3.0,3.0,3.0,4.0,,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,Female,45-60,"$50,000 - $99,999",Graduate degree,West South Central
379,3308501248,Novice,Not much,,,,,,,,,,,,,3.0,,3.0,,3.0,,,3.0,,2.0,3.0,,,,,,,,4.0,,5.0,,,,,,,,Male,45-60,"$50,000 - $99,999",Graduate degree,West North Central
380,3308501229,Intermediate,Some,,3.0,,,,3.0,,,,,,4.0,3.0,4.0,2.0,,4.0,,4.0,5.0,,2.0,5.0,,,,,3.0,5.0,,3.0,,5.0,5.0,5.0,4.0,3.0,,5.0,3.0,Female,45-60,,Graduate degree,Middle Atlantic
381,3308501154,Novice,A lot,,,,,,,,,,,,,5.0,4.0,4.0,,4.0,,5.0,4.0,,4.0,4.0,,,,,3.0,,,3.0,,5.0,5.0,5.0,,,4.0,4.0,5.0,Male,18-29,,Bachelor degree,West South Central
382,3308500976,Intermediate,Some,,3.0,3.0,3.0,,3.0,,,,3.0,,,2.0,3.0,3.0,1.0,4.0,,,5.0,,4.0,5.0,3.0,,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic
383,3308500092,Intermediate,Some,,3.0,,,,3.0,,,,3.0,,,,4.0,3.0,,5.0,,,4.0,,1.0,5.0,,,3.0,1.0,2.0,4.0,3.0,3.0,,5.0,1.0,,2.0,,,2.0,3.0,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
384,3308500016,Intermediate,Some,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,,,2.0,,3.0,3.0,2.0,,4.0,3.0,3.0,2.0,3.0,,2.0,3.0,,,,,
385,3308499920,Intermediate,Not much,,3.0,3.0,,,3.0,,,3.0,,,,,,3.0,,5.0,3.0,,5.0,,3.0,4.0,,,,,,3.0,,4.0,,3.0,4.0,,4.0,4.0,,3.0,,Male,30-44,"$0 - $24,999",Less than high school degree,South Atlantic
386,3308499516,Intermediate,Some,,,1.0,4.0,,,,4.0,,,,,1.0,,1.0,,3.0,,5.0,5.0,,,5.0,,,,2.0,2.0,4.0,,5.0,,3.0,5.0,4.0,,4.0,,1.0,,Male,30-44,"$0 - $24,999",Graduate degree,Pacific
387,3308499253,Intermediate,A lot,,3.0,,,,,,,,4.0,,,4.0,,5.0,,5.0,,,4.0,,5.0,5.0,,,,,,5.0,,5.0,,5.0,5.0,4.0,,5.0,,,4.0,Female,45-60,"$100,000 - $149,999",Graduate degree,Pacific
388,3308499214,Intermediate,Not much,,,,,,,,,,,,,4.0,3.0,3.0,,3.0,,,3.0,,3.0,3.0,,,,,,3.0,,5.0,,,,,,,,,,Male,> 60,"$50,000 - $99,999",High school degree,Pacific
389,3308499030,Novice,Not much,,,,,,,,,,,,,5.0,5.0,4.0,,5.0,,,5.0,,3.0,3.0,,,,,,,3.0,5.0,,3.0,4.0,3.0,3.0,,,3.0,4.0,Female,> 60,,Some college or Associate degree,South Atlantic
390,3308498447,Intermediate,A lot,,4.0,,,,4.0,,,,,,,4.0,5.0,4.0,,4.0,,,5.0,,3.0,3.0,3.0,,3.0,4.0,3.0,4.0,3.0,4.0,,4.0,3.0,4.0,,3.0,,4.0,3.0,Female,> 60,,Graduate degree,New England
391,3308498332,Intermediate,A lot,,,,,,,,,,,,,3.0,3.0,3.0,,3.0,,,4.0,,4.0,3.0,,,,4.0,4.0,,,3.0,,4.0,4.0,4.0,,,,,4.0,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
392,3308498269,Novice,Some,,,,,,,,3.0,,,,,3.0,,3.0,,4.0,,,4.0,,,3.0,,,,,,4.0,,4.0,,3.0,3.0,,,3.0,,3.0,3.0,Female,30-44,,Some college or Associate degree,South Atlantic
393,3308497972,Novice,Not much,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,4.0,,,,,,,,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
394,3308497814,Intermediate,Not much,,3.0,4.0,4.0,,3.0,,,3.0,3.0,,3.0,2.0,4.0,5.0,,3.0,,,3.0,,4.0,4.0,3.0,,,,4.0,3.0,4.0,4.0,,4.0,2.0,4.0,,,,3.0,3.0,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
395,3308497594,Novice,Not much,,2.0,,,3.0,2.0,,2.0,,,3.0,2.0,2.0,2.0,3.0,,4.0,,,5.0,,5.0,5.0,,,,3.0,2.0,,,5.0,,4.0,1.0,2.0,,2.0,,2.0,3.0,Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific
396,3308497447,Intermediate,A lot,,3.0,,,,,,,3.0,4.0,,,2.0,5.0,4.0,,4.0,4.0,4.0,5.0,,4.0,5.0,,,4.0,3.0,3.0,4.0,,4.0,,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,Female,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic
397,3308496290,Advanced,A lot,,3.0,3.0,4.0,,4.0,4.0,4.0,4.0,3.0,,4.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,,5.0,5.0,3.0,,4.0,4.0,3.0,4.0,4.0,4.0,,2.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,Female,30-44,"$150,000+",Graduate degree,West South Central
399,3308495050,Intermediate,Some,3.0,4.0,2.0,4.0,,4.0,4.0,3.0,3.0,,2.0,,1.0,3.0,3.0,3.0,2.0,3.0,,5.0,,4.0,4.0,3.0,,4.0,2.0,2.0,4.0,3.0,2.0,,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,Male,45-60,"$150,000+",Graduate degree,Pacific
400,3308494928,Intermediate,Some,,,,3.0,,,,,,,,,4.0,4.0,4.0,,4.0,,,4.0,,4.0,4.0,,,3.0,,,3.0,,5.0,,3.0,3.0,2.0,3.0,3.0,,,3.0,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
401,3308494748,Novice,A lot,,,,,,,,,,,,,,5.0,,,5.0,,,5.0,,4.0,5.0,,,,,,,,3.0,,3.0,3.0,,,,,,,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
402,3308494386,Novice,Some,,,4.0,,,,,,,,,,4.0,,,,,,,4.0,,5.0,4.0,,,,,5.0,,,4.0,,5.0,,4.0,,,,5.0,,Male,18-29,"$25,000 - $49,999",High school degree,Pacific
403,3308493905,Novice,Some,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,4.0,3.0,,4.0,4.0,,5.0,5.0,,5.0,5.0,4.0,,,,3.0,,,,,,
404,3308493867,Novice,Some,,,,,,,,,,,,,,,3.0,,4.0,,,5.0,,5.0,4.0,,,,,,,,4.0,,,,5.0,,,,,4.0,Male,30-44,,Some college or Associate degree,New England
405,3308493784,Intermediate,Some,,,,4.0,,,,,,,,,3.0,4.0,4.0,,4.0,,,5.0,,4.0,5.0,,,4.0,4.0,,4.0,,5.0,,3.0,1.0,1.0,,,3.0,2.0,3.0,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
406,3308492209,Novice,Not at all,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,5.0,,3.0,,,,2.0,,,3.0,Female,45-60,"$50,000 - $99,999",High school degree,East North Central
407,3308491821,Intermediate,A lot,,,,,,,,,,,,,,,4.0,,4.0,,,4.0,,3.0,,,,,,,,,3.0,,,,,,,,,,Female,18-29,"$25,000 - $49,999",High school degree,East North Central
408,3308491463,Intermediate,Some,,,3.0,,,,,,,,,,3.0,4.0,3.0,,3.0,,,3.0,,4.0,3.0,,,,3.0,3.0,3.0,,3.0,,5.0,4.0,4.0,,3.0,3.0,3.0,3.0,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central
409,3308490816,Intermediate,A lot,,,,,,3.0,,,,,,,3.0,5.0,5.0,,4.0,,4.0,5.0,,4.0,5.0,,,,2.0,,4.0,,3.0,,4.0,5.0,5.0,,3.0,,,3.0,Female,18-29,,High school degree,West South Central
410,3308489755,Novice,Some,,,,,3.0,,,,,,4.0,,3.0,4.0,,,5.0,,,4.0,,,4.0,5.0,,,4.0,,5.0,,4.0,,,,,4.0,,,,4.0,Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific
411,3308489545,Intermediate,Some,,3.0,3.0,4.0,,4.0,,,,,,,4.0,5.0,4.0,,5.0,,,5.0,,4.0,4.0,4.0,,4.0,,5.0,4.0,3.0,4.0,,5.0,3.0,4.0,4.0,,,4.0,4.0,Female,> 60,"$150,000+",Graduate degree,South Atlantic
412,3308488398,Novice,Some,,4.0,,3.0,,4.0,,4.0,3.0,,,,2.0,5.0,2.0,,5.0,3.0,3.0,3.0,,5.0,3.0,3.0,,4.0,3.0,3.0,4.0,3.0,3.0,,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,Female,30-44,,Graduate degree,Middle Atlantic
413,3308487720,Intermediate,A lot,,3.0,4.0,3.0,,4.0,,,3.0,4.0,,3.0,3.0,5.0,3.0,3.0,4.0,,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,,4.0,4.0,5.0,4.0,3.0,,4.0,3.0,Female,45-60,,Graduate degree,Middle Atlantic
414,3308487702,Novice,Not much,,,,,,,,,,,,,3.0,,2.0,,2.0,,,5.0,,3.0,3.0,,,,,,,,4.0,,3.0,,4.0,,,,,3.0,Female,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
415,3308487223,Novice,Not much,,,,,,,,,,,,,3.0,,4.0,,3.0,,,4.0,,,4.0,,,,,,,,4.0,,3.0,2.0,,,,3.0,,,Female,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
416,3308485509,Intermediate,A lot,,,,4.0,,,,4.0,,,,,3.0,5.0,4.0,,5.0,,4.0,4.0,,4.0,4.0,,,4.0,3.0,2.0,5.0,,5.0,,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,Female,45-60,"$150,000+",Bachelor degree,South Atlantic
417,3308485325,Intermediate,Some,,,,,3.0,,,,,,,,3.0,3.0,3.0,,3.0,,,4.0,,,3.0,3.0,,,3.0,,,,4.0,,,,,,,,,3.0,Female,> 60,,Bachelor degree,Mountain
418,3308485079,Advanced,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,> 60,"$25,000 - $49,999",Graduate degree,South Atlantic
419,3308485047,Intermediate,Not much,2.0,3.0,2.0,4.0,,2.0,2.0,3.0,2.0,3.0,,,3.0,4.0,4.0,,4.0,2.0,,4.0,,3.0,4.0,,,,,,3.0,,3.0,,3.0,,,,,,,,Male,18-29,"$25,000 - $49,999",High school degree,West South Central
420,3308484063,Novice,Some,,,,4.0,,,,,,,,,3.0,4.0,3.0,,4.0,,,5.0,,3.0,5.0,,,,,,4.0,4.0,5.0,,4.0,3.0,4.0,,3.0,,,3.0,Female,30-44,,Bachelor degree,West South Central
421,3308483613,Intermediate,A lot,,3.0,,,,,,,,,,3.0,3.0,,,,,,,3.0,,4.0,4.0,,,,,,,,3.0,,4.0,,4.0,,,,4.0,,Female,45-60,"$25,000 - $49,999",Bachelor degree,Pacific
423,3308482858,Intermediate,A lot,,4.0,,,,,,,,,,,3.0,4.0,3.0,,4.0,,,5.0,,5.0,3.0,,,,,,,,5.0,,4.0,3.0,4.0,,,,,,Female,> 60,,Bachelor degree,South Atlantic
424,3308482775,Intermediate,Some,,,,,,,,,,,,,3.0,3.0,4.0,,3.0,,,3.0,,3.0,3.0,,,,3.0,3.0,3.0,,2.0,,3.0,,,,,,,3.0,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
425,3308482432,Intermediate,Some,,3.0,,4.0,,4.0,,3.0,,4.0,,,2.0,5.0,3.0,,4.0,,,5.0,,3.0,4.0,3.0,,,,,3.0,3.0,5.0,,4.0,3.0,4.0,,3.0,2.0,4.0,3.0,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
427,3308481648,Intermediate,Some,,,4.0,2.0,,,,4.0,3.0,3.0,,,,4.0,2.0,,5.0,3.0,,4.0,,4.0,4.0,,,3.0,,3.0,2.0,,3.0,,5.0,3.0,4.0,,2.0,,2.0,,Female,30-44,"$25,000 - $49,999",High school degree,South Atlantic
428,3308480348,Intermediate,Some,,,3.0,,,3.0,,,3.0,,,,4.0,3.0,3.0,,3.0,,,5.0,4.0,4.0,3.0,,,3.0,3.0,4.0,4.0,3.0,4.0,,4.0,3.0,3.0,,3.0,,3.0,4.0,Male,> 60,"$0 - $24,999",Graduate degree,West North Central
429,3308480339,Intermediate,Some,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,,3.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,,4.0,,3.0,4.0,5.0,,4.0,2.0,2.0,4.0,4.0,4.0,,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,Female,45-60,"$150,000+",Graduate degree,Pacific
430,3308477919,Intermediate,A lot,,5.0,4.0,4.0,,4.0,,3.0,4.0,3.0,,,3.0,5.0,3.0,,5.0,3.0,,5.0,,4.0,5.0,3.0,,4.0,2.0,3.0,5.0,4.0,5.0,,4.0,3.0,4.0,,5.0,,2.0,5.0,Male,45-60,"$25,000 - $49,999",Bachelor degree,West North Central
431,3308477899,Intermediate,Some,,,3.0,4.0,,,,,,,,,3.0,3.0,4.0,,4.0,,,4.0,,4.0,4.0,,,3.0,,2.0,3.0,3.0,3.0,,1.0,5.0,1.0,,,,2.0,,Male,30-44,"$25,000 - $49,999",Bachelor degree,Mountain
432,3308477084,Intermediate,Some,,,3.0,,,3.0,,,,,,,3.0,,3.0,,3.0,,,4.0,,3.0,3.0,,,,3.0,,,,3.0,,4.0,3.0,4.0,,3.0,,3.0,3.0,Male,30-44,,Some college or Associate degree,Pacific
433,3308476176,Advanced,A lot,3.0,4.0,4.0,3.0,3.0,3.0,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,,4.0,3.0,,4.0,,3.0,4.0,3.0,,4.0,,,4.0,3.0,4.0,,3.0,3.0,3.0,4.0,,,4.0,4.0,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific
434,3308475877,Intermediate,A lot,,,,,,3.0,,,,,,,2.0,5.0,3.0,,4.0,,,5.0,,4.0,4.0,3.0,,,,4.0,4.0,,4.0,,3.0,2.0,4.0,,4.0,,4.0,3.0,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Mountain
435,3308475863,Novice,Some,,,,,,,,,,,,,3.0,,3.0,,4.0,,1.0,4.0,,5.0,4.0,,,,,,3.0,4.0,5.0,,4.0,2.0,,,,,,,Male,> 60,,Some college or Associate degree,South Atlantic
436,3308475386,Novice,Not much,,,,,,,,,,,,,,3.0,3.0,,,,,3.0,,,4.0,,,,,,,,5.0,,,2.0,,,3.0,1.0,,,Male,> 60,"$25,000 - $49,999",Bachelor degree,West South Central
437,3308474910,Novice,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,Female,> 60,"$0 - $24,999",High school degree,West North Central
438,3308473959,Novice,A lot,,,,,,,,,,,,,3.0,4.0,2.0,,4.0,,,4.0,,2.0,4.0,,,,3.0,,,,3.0,,3.0,4.0,5.0,4.0,,4.0,,,Female,> 60,,Bachelor degree,East South Central
439,3308473082,Expert,A lot,3.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,,4.0,4.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,Female,> 60,"$50,000 - $99,999",Graduate degree,West South Central
440,3308472701,Intermediate,Some,,3.0,3.0,3.0,2.0,4.0,,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,,3.0,,,4.0,,,4.0,3.0,,,,2.0,3.0,3.0,4.0,,3.0,2.0,2.0,,,,2.0,,Female,45-60,,Bachelor degree,East North Central
442,3308471495,Novice,Some,,,,,,,,,,,,,3.0,3.0,,,,,4.0,3.0,,4.0,3.0,,,,,4.0,,,3.0,,4.0,4.0,4.0,,,,5.0,,Male,18-29,,Bachelor degree,West South Central
443,3308471030,Intermediate,A lot,,5.0,,5.0,,5.0,,4.0,,,,5.0,2.0,5.0,4.0,,4.0,5.0,4.0,5.0,,5.0,5.0,,,,4.0,4.0,4.0,,5.0,,4.0,4.0,5.0,,4.0,4.0,4.0,4.0,Female,18-29,"$0 - $24,999",Graduate degree,Pacific
445,3308470400,Intermediate,A lot,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,3.0,,,,3.0,,3.0,4.0,5.0,4.0,,4.0,,,,,,,
446,3308470085,Novice,Some,,,,,,,,,,,,,,3.0,,,,,,4.0,,3.0,5.0,,,,,,,,4.0,,3.0,,3.0,,,,,,Male,18-29,"$0 - $24,999",High school degree,Pacific
447,3308469911,Novice,Some,,,,,,,,,3.0,,,,4.0,3.0,4.0,,3.0,,,4.0,,4.0,5.0,,,,,,3.0,,4.0,,4.0,3.0,5.0,,,3.0,4.0,3.0,Male,45-60,"$50,000 - $99,999",Graduate degree,West North Central
448,3308469567,Intermediate,A lot,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,,,2.0,,,3.0,3.0,,4.0,4.0,4.0,4.0,4.0,,3.0,3.0,,,,,
449,3308469367,Intermediate,Some,,,3.0,,,,,,,,,,3.0,3.0,3.0,,,,,3.0,,,3.0,,,,,3.0,,,5.0,,,3.0,,,,,,,Female,> 60,"$0 - $24,999",High school degree,Pacific
450,3308468406,Novice,Some,,,,,,,,,,,,,4.0,3.0,3.0,,4.0,,,5.0,,4.0,4.0,,,3.0,,4.0,,,5.0,,4.0,4.0,5.0,,4.0,,,4.0,Male,45-60,"$50,000 - $99,999",Bachelor degree,East South Central
451,3308467785,Novice,Some,,,4.0,3.0,,3.0,3.0,4.0,3.0,3.0,,2.0,3.0,4.0,3.0,,3.0,,2.0,5.0,,4.0,4.0,3.0,,,,2.0,4.0,3.0,5.0,,4.0,1.0,4.0,,4.0,,2.0,3.0,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West South Central
452,3308467382,Novice,Not at all,,,,,,,,,,,,,,,3.0,,,,,,,,4.0,,,,,,,,4.0,,4.0,,,,,,,,Male,30-44,"$50,000 - $99,999",High school degree,West North Central
453,3308467363,Intermediate,Some,,,,,,3.0,,4.0,,4.0,,,4.0,4.0,4.0,,4.0,,,5.0,,4.0,5.0,,,,,,4.0,,5.0,,4.0,4.0,5.0,,3.0,,,4.0,Female,45-60,,Some college or Associate degree,Mountain
454,3308466992,Intermediate,Some,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,2.0,5.0,3.0,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,West South Central
455,3308465416,Intermediate,Some,4.0,4.0,,4.0,,4.0,,3.0,4.0,4.0,,3.0,2.0,5.0,3.0,2.0,,,3.0,5.0,,3.0,3.0,3.0,,4.0,4.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,Female,45-60,,Graduate degree,East North Central
456,3308464469,Novice,Some,,,3.0,3.0,,,,,,,,,3.0,4.0,4.0,,3.0,,,3.0,,3.0,3.0,,,,3.0,,,3.0,5.0,,3.0,3.0,3.0,,,,,3.0,Female,> 60,"$25,000 - $49,999",Graduate degree,Mountain
457,3308464349,Novice,Some,,,,,,,,,3.0,,,,3.0,,,,3.0,3.0,,4.0,,4.0,3.0,,,,,,,,3.0,,3.0,,,,3.0,,,3.0,Female,30-44,"$0 - $24,999",Some college or Associate degree,West North Central
458,3308463843,Expert,A lot,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,Female,> 60,,Some college or Associate degree,West North Central
459,3308463583,Advanced,A lot,,,3.0,,,3.0,,,,,,,3.0,3.0,3.0,,4.0,,3.0,4.0,,4.0,3.0,,,,3.0,3.0,4.0,3.0,3.0,,4.0,3.0,4.0,,3.0,3.0,3.0,3.0,Female,30-44,,Some college or Associate degree,Pacific
462,3308460091,Intermediate,Some,,,4.0,3.0,,3.0,,3.0,,3.0,,,4.0,4.0,4.0,,3.0,,,4.0,,3.0,3.0,,,,3.0,,3.0,3.0,4.0,,3.0,3.0,,,,,,3.0,Female,> 60,,High school degree,East North Central
463,3308459440,Novice,Not much,,,,,,,,,,,,,3.0,,4.0,,,,,3.0,,,3.0,,,,,,,3.0,5.0,,3.0,,,,,,,,Male,45-60,"$0 - $24,999",High school degree,East North Central
464,3308458968,Intermediate,Not much,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,18-29,"$0 - $24,999",Less than high school degree,East North Central
466,3308457296,Intermediate,A lot,,4.0,4.0,4.0,,4.0,,4.0,4.0,3.0,,3.0,4.0,5.0,4.0,,5.0,3.0,3.0,5.0,,4.0,4.0,,,4.0,3.0,,4.0,,3.0,3.0,4.0,5.0,4.0,,5.0,,3.0,,Female,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
467,3308456540,Novice,Not much,,,3.0,,,3.0,,,,3.0,,,4.0,4.0,3.0,,2.0,3.0,,4.0,,3.0,2.0,,,,,,,3.0,5.0,,3.0,2.0,,,,,,,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
